City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Viedma,AR,-40.8135,-62.9967,83.77,14,100,9.89,overcast clouds
201,Tura,IN,25.5198,90.2201,55.15,74,0,4.03,clear sky
202,Hambantota,LK,6.1241,81.1185,75.54,100,40,6.91,scattered clouds
203,Karratha,AU,-20.7377,116.8463,85.89,66,100,2.04,overcast clouds
204,Hirado,JP,33.3597,129.5531,49.35,86,100,13.91,light rain
205,Santa Maria,BR,-29.6842,-53.8069,70.23,94,100,2.93,overcast clouds
206,Kuvandyk,RU,51.4781,57.3552,25.59,92,97,10.29,overcast clouds
207,Half Moon Bay,US,37.4636,-122.4286,75.51,55,0,4.61,clear sky
208,Kaitangata,NZ,-46.2817,169.8464,50.94,71,100,9.13,overcast clouds
209,Neuquen,AR,-38.9516,-68.0591,84.09,14,0,9.22,clear sky
210,Hohhot,CN,40.8106,111.6522,22.71,55,100,5.06,overcast clouds
211,Manicore,BR,-5.8092,-61.3003,86.85,63,97,2.66,light rain
212,Tolaga Bay,NZ,-38.3667,178.3,77.16,71,80,19.13,broken clouds
213,Mount Isa,AU,-20.7333,139.5,73.17,94,4,5.75,clear sky
214,Wagar,SD,16.1525,36.2032,73.24,50,0,16.15,clear sky
215,Leningradskiy,RU,69.3833,178.4167,-19.64,97,98,4.43,overcast clouds
216,Formiga,BR,-20.4644,-45.4264,72.27,84,43,9.98,scattered clouds
217,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,77,100,10.94,overcast clouds
218,Tateyama,JP,34.9833,139.8667,39.22,55,28,1.63,scattered clouds
219,Bairiki,KI,1.3292,172.9752,81.21,71,80,15.5,broken clouds
220,Berlevag,NO,70.8578,29.0864,23.5,80,77,19.75,broken clouds
221,Kisangani,CD,0.5167,25.2,78.87,59,100,1.99,overcast clouds
222,Buin,CL,-33.7333,-70.75,93.06,13,28,12.24,scattered clouds
223,Dakar,SN,14.6937,-17.4441,83.28,64,25,16.11,scattered clouds
